"Severity","Type","Code","Source","Description","Sample Time","Run Hours"
"High","Events","225:3","Engine","Engine Overcrank","8/23/2020 4:28:24 PM","20197.0"
"Medium","Diagnostics","590:9","Communication Gateway #1","Engine Control Module:Abnormal Update Rate","10/20/2020 4:53:48 PM","21124.0"
"Medium","Diagnostics","590:9","Communication Gateway #1","Engine Control Module:Abnormal Update Rate","10/12/2020 12:52:53 PM","21022.0"
"Medium","Events","31:2","Engine","Air Filter Restriction Derate","10/1/2020 8:39:09 PM","20774.0"
"Medium","Events","31:2","Engine","Air Filter Restriction Derate","9/21/2020 10:34:52 AM","20606.0"
"Medium","Events","31:2","Engine","Air Filter Restriction Derate","9/8/2020 11:21:45 AM","20429.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/30/2020 8:20:53 AM","21248.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/30/2020 7:19:52 AM","21247.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/30/2020 4:52:38 AM","21246.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/30/2020 4:20:02 AM","21246.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/30/2020 3:19:23 AM","21245.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/30/2020 2:38:26 AM","21244.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/29/2020 1:43:00 AM","21244.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/29/2020 12:43:05 AM","21243.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 11:24:35 PM","21242.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 9:59:10 PM","21240.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 8:58:33 PM","21239.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 7:43:36 PM","21238.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/28/2020 7:16:05 PM","21237.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 6:15:41 PM","21236.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 3:46:10 PM","21234.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 1:24:23 PM","21232.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 11:24:14 AM","21230.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 9:53:18 AM","21228.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/28/2020 8:47:54 AM","21227.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 8:33:17 AM","21227.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/28/2020 12:35:04 AM","21226.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 9:52:06 PM","21223.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 8:47:11 PM","21222.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 4:22:41 PM","21217.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 3:06:58 PM","21216.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 7:27:45 AM","21208.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 6:20:59 AM","21207.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 4:13:05 AM","21205.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 2:54:29 AM","21204.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/27/2020 1:09:57 AM","21202.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 11:39:04 PM","21201.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 5:59:02 PM","21197.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 4:32:24 PM","21195.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 3:00:02 PM","21194.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 10:32:51 AM","21189.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 8:57:17 AM","21188.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 7:14:51 AM","21186.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 5:47:19 AM","21184.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 4:33:50 AM","21183.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 3:27:37 AM","21182.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 2:21:16 AM","21181.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/26/2020 12:09:36 AM","21179.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 9:36:37 PM","21176.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 8:02:33 PM","21175.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 6:54:17 PM","21173.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 5:13:15 PM","21172.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 4:13:09 PM","21171.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 2:55:07 PM","21169.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 1:53:38 PM","21168.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/25/2020 11:30:41 AM","21166.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/24/2020 9:32:04 AM","21161.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/24/2020 7:26:23 AM","21159.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/24/2020 5:38:24 AM","21158.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/24/2020 4:33:23 AM","21157.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/24/2020 2:58:22 AM","21155.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/24/2020 1:57:44 AM","21154.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/23/2020 10:52:19 PM","21151.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/23/2020 5:39:34 PM","21146.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/23/2020 5:35:19 AM","21143.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/23/2020 4:17:33 AM","21142.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/23/2020 12:46:33 AM","21139.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/22/2020 7:11:07 PM","21133.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/20/2020 4:58:23 PM","21124.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/20/2020 4:52:32 PM","21124.0"
"Low","Diagnostics","828:8","Engine","Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/20/2020 4:52:32 PM","21124.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/19/2020 1:28:53 PM","21123.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/18/2020 3:13:10 PM","21114.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/18/2020 2:09:23 PM","21113.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/18/2020 12:59:21 PM","21112.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/18/2020 11:31:20 AM","21110.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/17/2020 1:42:16 AM","21077.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 9:58:51 PM","21073.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 8:56:28 PM","21072.0"
