Boost,Coolant_Temp,EXH_DIFF,EXH_L,EXH_R,Fuel_Press,Fuel_Rate,Load,Oil_Press,RPM
11.5,85.0,34.0,294.0,260.0,498.0,102.50000152736901,26.0,490.0,1798.0
12.5,86.0,3.0,288.0,285.0,497.5,89.3000013306737,23.0,491.5,1804.5
12.5,85.0,18.0,282.0,264.0,496.5,86.950001295656,23.0,491.0,1799.0
12.0,85.0,0.0,281.0,281.0,496.5,92.0500013716519,24.0,490.0,1801.5
10.5,85.0,8.0,283.0,275.0,496.5,87.4000013023615,23.0,491.0,1801.0
15.5,85.0,64.0,310.0,246.0,497.0,98.35000146552919,25.0,490.5,1800.0
14.5,86.0,43.0,316.0,273.0,498.5,99.40000148117541,25.0,489.5,1800.0
9.0,85.0,43.0,290.0,247.0,498.0,78.1500011645257,21.0,491.0,1801.5
11.5,84.0,46.0,298.0,252.0,497.5,78.5000011697412,22.0,490.5,1801.5
14.5,85.0,42.0,284.0,242.0,497.0,91.2000013589859,24.0,490.5,1802.5
12.5,85.0,37.0,284.0,247.0,497.0,93.95000139996408,24.0,491.0,1801.5
11.0,85.0,11.0,290.0,279.0,496.5,91.5500013642013,24.0,490.5,1800.0
8.0,85.0,1.0,285.0,284.0,496.5,86.55000128969549,22.0,490.5,1800.0
10.5,85.0,13.0,288.0,275.0,497.0,80.65000120177871,23.0,490.0,1800.0
7.5,85.0,32.0,286.0,254.0,495.5,87.75000130757691,23.0,490.0,1799.0
14.0,85.0,7.0,282.0,289.0,495.5,91.5500013642013,24.0,490.0,1801.0
9.5,85.0,20.0,285.0,265.0,497.0,89.65000133588909,23.0,491.0,1804.5
12.0,85.0,36.0,285.0,249.0,496.0,86.950001295656,23.0,491.0,1801.5
12.0,85.0,7.0,285.0,292.0,496.5,84.45000125840309,23.0,491.0,1797.5
13.5,85.0,10.0,310.0,300.0,496.5,90.9500013552606,24.0,489.5,1800.0
13.0,85.0,11.0,288.0,277.0,497.0,88.4500013180077,22.0,490.5,1797.5
7.0,85.0,8.0,283.0,275.0,497.0,86.950001295656,22.0,491.0,1800.0
6.5,85.0,3.0,282.0,279.0,497.0,87.15000129863621,22.0,491.0,1801.0
9.0,85.0,3.0,281.0,278.0,497.5,84.45000125840309,22.0,490.5,1801.0
11.0,85.0,51.0,281.0,230.0,497.0,85.250001270324,23.0,490.5,1798.0
13.0,85.0,1.0,284.0,285.0,499.5,82.3000012263656,23.0,491.0,1799.0
10.0,85.0,10.0,285.0,295.0,498.5,78.7500011734664,22.0,491.0,1806.0
14.0,85.0,44.0,290.0,246.0,498.5,86.3500012867153,23.0,490.0,1801.5
11.0,85.0,12.0,284.0,296.0,498.5,83.1500012390316,24.0,490.0,1802.5
8.5,85.0,22.0,289.0,267.0,498.0,85.8500012792647,23.0,489.5,1800.0
11.5,85.0,1.0,286.0,287.0,498.0,83.3500012420118,23.0,490.0,1804.5
8.5,85.0,28.0,286.0,258.0,496.5,83.85000124946241,23.0,490.0,1799.0
8.0,85.0,21.0,277.0,256.0,496.0,78.5000011697412,22.0,490.0,1795.0
130.5,91.0,38.0,541.0,579.0,467.0,241.40000359714,49.0,472.0,1808.5
127.0,93.0,22.0,543.0,565.0,466.5,266.000003963709,55.0,468.5,1800.0
105.5,92.0,14.0,539.0,553.0,472.0,228.35000340268,49.0,469.5,1800.0
121.0,92.0,15.0,543.0,558.0,470.0,234.300003491342,48.0,469.0,1809.5
105.0,92.0,14.0,537.0,551.0,470.5,230.400003433228,49.0,470.0,1800.0
130.0,93.0,18.0,549.0,567.0,466.5,248.300003699958,52.0,468.5,1801.0
127.5,91.0,36.0,546.0,510.0,468.5,256.050003815442,52.0,471.0,1797.5
135.5,90.0,19.0,541.0,560.0,469.0,264.100003935397,54.0,470.0,1811.0
128.0,91.0,50.0,545.0,595.0,466.5,258.05000384524504,52.0,470.5,1805.0
133.0,91.0,31.0,538.0,569.0,461.0,288.800004303455,61.0,470.0,1791.5
128.0,91.0,47.0,542.0,589.0,469.5,249.40000371634997,50.0,470.5,1803.5
140.0,91.0,20.0,545.0,565.0,466.0,264.800003945827,54.0,470.0,1801.0
29.0,87.0,17.0,405.0,422.0,489.0,137.850002054125,31.0,482.5,1801.5
23.5,86.0,12.0,355.0,343.0,495.5,120.40000179409999,28.0,488.5,1801.5
10.0,85.0,8.0,279.0,271.0,498.0,89.9000013396144,23.0,491.5,1801.5
11.5,85.0,20.0,317.0,337.0,496.5,101.05000150576201,25.0,489.5,1798.0
12.5,85.0,26.0,278.0,252.0,497.5,85.8500012792647,23.0,490.5,1795.5
6.0,85.0,27.0,275.0,302.0,498.0,81.70000121742491,21.0,491.0,1800.0
23.5,86.0,25.0,366.0,341.0,493.0,122.900001831353,29.0,487.5,1800.0
8.0,40.0,30.0,235.0,205.0,509.0,82.3000012263656,21.0,636.5,1795.0
11.5,85.0,28.0,269.0,297.0,499.5,85.0500012673438,23.0,490.0,1804.5
17.0,85.0,33.0,340.0,307.0,495.5,112.60000167787099,27.0,488.5,1799.0
11.0,85.0,27.0,281.0,308.0,498.0,77.0500011481345,22.0,490.0,1798.0
14.0,83.0,53.0,275.0,222.0,500.5,78.7500011734664,22.0,508.0,1796.5
17.5,86.0,43.0,338.0,295.0,496.5,114.700001709163,27.0,488.5,1803.5
115.5,92.0,72.0,537.0,609.0,475.0,216.350003223866,46.0,472.0,1813.0
63.0,88.0,4.0,493.0,497.0,480.0,194.15000289306,43.0,480.5,1802.5
52.0,87.0,17.0,454.0,437.0,512.5,172.30000256747,38.0,502.0,1802.5
