Código,Descrição,Tradução,Causas possíveis,Recomendações,
100-2,"Oil Pressure Sensor: Erratic, Intermitent or Incorrect","Sensor de Pressão Óleo Lubrificante - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
100-3,Lube Oil Pressure Sensor: Voltagem Above Normal,Sensor de Pressão Óleo Lubrificante - Voltagem acima do normal,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
10-5,Cylinder #10 Injector: Current Below Normal,Injetor #10 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,
105-3,Inlet Manifold Temperature Sensor:Voltage Above Normal,Sensor de temperatura do coletor de admissão: tensão acima do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
110-3,Engine Coolant Temperature Sensor:Voltage Above Normal,Sensor de temperatura de arrefecimento: Voltagem alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
279-3,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
289-2,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect","Sensor de pressão de combustível - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
289-3,Fuel Pressure Sensor - Before Fuel Filter: Voltage Above Normal,Sensor de pressão de combustível: Voltagem abaixo do normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
4-5,Cylinder #4 Injector:Current Below Normal,Injetor #4 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,
542-2,"Oil Pressure Sensor - Before Filter: Erratic, Intermitent or Incorrect","Sensor de Pressão Óleo Lubrificante - Antes do Filtro - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E9(2),High Altitude Derate,,"Sensor defeituoso, chicote defeituoso.",Checagem do sensor e chicote; Troca do sensor e chicote.,
54-2,"High Fuel Temperature Derate - Erratic, Intermittent, or Incorrect","Alta temperatura de combustível reduzida - Errado, Intermitente ou Incorreto","Válvula reguladora de pressão de combustível, Nível de combustível, Linhas de combustível, Motor superaquecido.","Inspecionar a válvula reguladora de pressão de combustível de retorno. Certificar-se de que o tanque de combustível contém combustível suficiente. À medida que o nível do tanque de combustível diminui, a temperatura do combustível geralmente aumenta. Certificar-se de que o fluxo de retorno de combustível para o tanque de combustível não esteja obstruído. ",
542-3,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,Sensor de pressão de óleo lubrificante - Antes do Filtro: Voltagem alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
0-9,Engine Control Module:Abnormal Update Rate,Módulo de Controle do Motor: Taxa anormal de atualização,"Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor (ECM) defeituoso, chicote defeituoso.",Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,
590-9,Engine Control Module:Abnormal Update Rate,Módulo de Controle do Motor: Taxa anormal de atualização,"Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor (ECM) defeituoso, chicote defeituoso.",Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,
827-8,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de temperatura de exaustão - Bancada da Esquerda: Sinal anormal,Instabilidade no Sensor de temperatura de exaustão - Bancada da Esquerda.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,
828-8,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de temperatura de exaustão - Bancada da Direita: Sinal anormal,Instabilidade no Sensor de temperatura de exaustão - Bancada da direita.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,
8-5,Cylinder #8 Injector:Current Below Normal,Injetor #8 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,
91-13,Throttle Position Sensor: Out of Calibration,Sensor de Posição do Acelerador: Fora da Calibração,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,
91-8,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de posição do acelerador: Sinal anormal,Instabilidade no sinal de posição do acelerador.,Monitorar o sinal de posição do acelerador recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal quando o acelerador está parado e sua calibração,
94-2,"Fuel Delivery Pressure Sensor: Erratic, Intermittent, or Incorrect","Sensor de pressão de entrada de combustível - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
94-3,Fuel Delivery Pressure Sensor: Voltage Above Normal,Sensor de Pressão de Entrada de Combustível - Voltagem Alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E100,Low Engine Oil Pressure Warning,Baixa pressão de óleo lubrificante,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",
E101(1),High Crankcase Pressure Warning,Pressão do cárter acima do limite por um longo período de tempo - Alerta,Respiro do cárter bloqueado/coagulado. Desgaste excessivo dos componentes do motor.,"Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",
E16(3),High Engine Coolant Temperature Shutdown,Alta temperatura de arrefecimento - Shutdown,"Baixo nível do líquido de arrefecimento, ar no sistema de arrefecimento, vazamento de fluido, mangueiras danificadas, aftercooler defeituoso, bomba de líquido arrefecedor de água com revestimento defeituoso.","Verificar se o motor está operando com cargas muito altas. Verificar regulador de temperatura, se existe ar no sistema de arrefecimento, vazamento de fluido de arrefecimento, mangueiras danificadas e/ou aftercooler defeituoso.",
E173(1),High Exhaust Temperature Warning,Alerta de Alta Temperatura de Gasas de Descarga,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Chegagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",
E190(1),Engine Overspeed Warning,Sobrevelocidade do motor - Alerta,Remoção de carga brusca no motor; Ar de admissão combustível.,Diminuição gradual de carga desse motor. Análise da atmosfera do ar de admissão do motor.,
E198(3),Low Fuel Pressure,Baixa pressão de combustível,"Tampa do tanque de combustível, Válvula reguladora de pressão de combustível, Válvula de alívio de pressão de combustível, Nível de combustível.","Verificar tampa do tanque de combustível, válvula reguladora de pressão de combustível, válvula de alívio de p ressão de combustível e nível de combustível.",
E21(2),High Exhaust Temperature Derate,Derate - Alta Temperatura de Gases de Descarga,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Checagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",
E225(3),Engine Overcrank,Tempo de partida ultrapassado,"Códigos de diagnóstico, Códigos de eventos, Abastecimento de combustível, Fonte de alimentação elétrica para o Módulo de Controle Eletrônico (ECM), Auxílios de partida (se aplicável), Chaves de desligamento do motor (se aplicável), Velocidade do motor/timing, Injetores unitários.","Verificar o sistema de combustível, chicote de alimentação do ECM, chaves de parada, injetores e timing do motor.",
