Sample Time,Battery Voltage (Volts),Boost Pressure (kPa),CID,Coolant Level,Diagnostic Status,Diagnostic SubCode - FMI,Diangostic WCI,Engine Acceleration Rate (RPM/s),Engine Coolant Temperature (Deg C),Engine Load Factor (%),Engine Oil Pressure (kPa),Engine Oil Temperature (Deg C),Engine Run Hours (Hours),Engine Speed (RPM),Event Code,Event Status,Fuel Consumption Rate (L/h),Fuel Filter Differential Pressure (kPa),Fuel Position,Fuel Pressure (kPa),Inlet Air Temperature (Deg C),Oil Filter Differential Pressure (kPa),Run Status (On/Off),Throttle Position (%),Total Fuel (L),,,,,,,,,,,,,,,,,,,,,,,,,,,Consumed,Ran,FFM Cons,FFM SFC,FFM Idle Cons
9/1/2020,,,,,,,,,71,0,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
9/1/2020,,,,,,,,,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,,,,,,,,,,,,,,,,,,,,,,1803.5,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.50,,,,,,,,,,,,,,,,,,,,,1803.5,,,,,,,,,,,,,,,,,0,0,0.003472222,4407501.208,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.00,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003460648,4407501.554,0.003460648
9/1/2020,,,,,,,,,71,0,,,,,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003472222,4407501.902,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,4407502.596,0.003472222
9/1/2020,26.50,20.00,,OK,,,,500.00,71,0.01,444,77,,,,,17.45,330,2.05,562,34.1,79.5,,0,50253.684,,,,,,,,,,1803.5,,,,,,,,,,,,,,,,,0,0,0.002662037,4407502.862,0.002662037
9/1/2020,,,,,,,,,71,0.01,,,,1803.50,,,,,,,,,,,,,,,,,,,,,1803.5,,,,,,,,,,,,,,,,,0,0,0.000821759,4407502.944,0.000821759
9/1/2020,,,,,,,,,71,0.01,,,,1803.50,,,,,,,,,,,,,,,,,,,,,1803.5,,,,,,,,,,,,,,,,,0,0,0.003472222,4407503.292,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.00,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003472222,4407503.639,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.00,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003472222,4407503.986,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1802.50,,,,,,,,,,,,,,,,,,,,,1802.5,,,,,,,,,,,,,,,,,0,0,0.003472222,4407504.333,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.00,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003472222,4407504.681,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1804.00,,,,,,,,,,,,,,,,,,,,,1804,,,,,,,,,,,,,,,,,0,0,0.003472222,4407505.028,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.00,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003472222,4407505.375,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.00,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003472222,4407505.722,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.50,,,,,,,,,,,,,,,,,,,,,1803.5,,,,,,,,,,,,,,,,,0,0,0.003483796,4407506.071,0.003483796
9/1/2020,,,,,,,,,71,0.02,,,,1803.00,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,0,0,0.003472222,4407506.418,0.003472222
9/1/2020,,,,,,,,,71,0.02,,,,1802.50,,,,,,,,,,,,,,,,,,,,,1802.5,,,,,,,,,,,,,,,,,0,0,0.003472222,2203753.383,0.003472222
9/1/2020,26.50,20.00,,OK,,,,500.00,71,0.02,444,77,,1802.25,,,17.8,329.5,2.05,561.5,34.1,79,,0,50271.191,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002638889,2203753.514,0.002638889
9/1/2020,,,,,,,,,71,0.02,,,,1802.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000833333,2203753.556,0.000833333
9/1/2020,,,,,,,,,71,0.02,,,,1802.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,2203753.73,0.003472222
9/1/2020,,,,,,,,,71,0.02,,,,1803.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,2203753.903,0.003472222
9/1/2020,,,,,,,,,71,0.02,,,,1802.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,2203754.077,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1803.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,2203754.251,0.003472222
9/1/2020,,,,,,,,,71,0.01,,,,1802.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,4407508.85,0.003483796
9/1/2020,,,,,,,,,71,0.03,,,,1803.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,4407509.197,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,1469169.848,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,367292.4909,0.003472222
9/1/2020,,,,,,,,,72,0.12,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400682.7489,0.003472222
9/1/2020,,,,,,,,,72,0.12,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,367292.5488,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,367292.5777,0.003472222
9/1/2020,26.50,24.50,,OK,,,,500.00,71,0.11,442,78,,1797.75,,,24.7,328.5,2.7,563.5,33.9,79.50,,0,50292.011,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002650463,400682.8362,0.002650463
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,400682.8436,0.000821759
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003460648,400682.8751,0.003460648
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,400682.9068,0.003483796
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400682.9383,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400682.9699,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.0015,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,367292.7803,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440751.3711,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.0962,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.1277,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.1593,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,440751.5101,0.003483796
9/1/2020,26.50,23.50,,OK,,,,500.00,71,0.115,442.5,77,,1797.75,,,24.25,330.5,2.7,560,33.7,79.50,,0,50316.616,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002650463,367292.9471,0.002650463
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,383262.2129,0.000821759
9/1/2020,,,,,,,,,71,0.11,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.2541,0.003472222
9/1/2020,,,,,,,,,71.00,0.1,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.2857,0.003472222
9/1/2020,,,,,,,,,71.00,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440751.649,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.3488,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.3804,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.4119,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.4435,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,367293.1856,0.003483796
9/1/2020,,,,,,,,,71,0.11,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,367293.2145,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.5383,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440751.9269,0.003472222
9/1/2020,26.50,25.00,,OK,,,,500.00,71,0.11,442.5,77,,1797.75,,,25.55,328,2.75,561,33.6,79.50,,0,50341.694,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002650463,400683.594,0.002650463
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,400683.6014,0.000821759
9/1/2020,,,,,,,,,71,0.11,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.633,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.6646,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.6961,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,400683.7278,0.003483796
9/1/2020,,,,,,,,,71,0.1,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003460648,400683.7593,0.003460648
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440752.1699,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.8224,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.854,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.8855,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.9171,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440752.3435,0.003472222
